run_number,run_id,replay_sample_seed,status,started_at,completed_at,MAA,BWT,result_directory,code_commit,data_revision,model_config_hash,config_hash,error_summary,registration_commit,result_commit
1,run_0001_seed_358341059,358341059,COMPLETE,2026-09-09T04:09:47+08:00,2026-09-09T11:42:14+08:00,62.853,7.9354,results/CoIN_Replay_random/r001/run_0001_seed_358341059,16f27d4469b07225bdcf820e43bac915809e4bbd,bf6bd4ee1883c6eb9b94a2bd0544d0b12e90f5d72d8a4d604791a3842516196d,5fe5a4b3d741e11a1237597d68f3803b759d79d9bafbf840ef14afab480f2b29,d06b56169e4db95b7cab47c687f4ded43ee34a9417319f2731d44dcb5461b110,,c9f8c0272f1fd2e6c2207d17057262fc42d2f6c5,de8bfcac25bf28f57160e99be5c887c7914cee22
2,run_0002_seed_1608950547,1608950547,COMPLETE,2026-09-09T11:42:20+08:00,2026-09-09T19:27:00+08:00,61.4747,16.8063,results/CoIN_Replay_random/r001/run_0002_seed_1608950547,16f27d4469b07225bdcf820e43bac915809e4bbd,bf6bd4ee1883c6eb9b94a2bd0544d0b12e90f5d72d8a4d604791a3842516196d,5fe5a4b3d741e11a1237597d68f3803b759d79d9bafbf840ef14afab480f2b29,3fc0410240f49ba044c0e1a08135d3da6e383c36ce21b6c55fc0bc307ea47993,,d959e329093f4d3ebbe76ebe8655718e84518bd7,d640ebdbe3500624f7fc542bdef56e66c1dbaae3
3,run_0003_seed_2089198544,2089198544,COMPLETE,2026-09-09T19:32:17+08:00,2026-09-10T02:38:40+08:00,61.1599,8.6152,results/CoIN_Replay_random/r001/run_0003_seed_2089198544,16f27d4469b07225bdcf820e43bac915809e4bbd,bf6bd4ee1883c6eb9b94a2bd0544d0b12e90f5d72d8a4d604791a3842516196d,5fe5a4b3d741e11a1237597d68f3803b759d79d9bafbf840ef14afab480f2b29,78b58ec20c3e917f0548ffae4c2245e72caf5ef622681f2ee46cfaa3ec8afb8c,,b5a829d45087355328e5cdcd3b798210bab8ed74,d8d361cbebacc24cb2bb960953ed528dd7518adb
4,run_0004_seed_1212218766,1212218766,COMPLETE,2026-09-10T02:38:50+08:00,2026-09-10T14:08:01+08:00,63.696,6.5542,results/CoIN_Replay_random/r001/run_0004_seed_1212218766,16f27d4469b07225bdcf820e43bac915809e4bbd,bf6bd4ee1883c6eb9b94a2bd0544d0b12e90f5d72d8a4d604791a3842516196d,5fe5a4b3d741e11a1237597d68f3803b759d79d9bafbf840ef14afab480f2b29,d2979e5ed045800ea2383ea1c39f4b44aecdadccb0f471212c14f9e9b24cccef,,095392b4b93dc3b0919aff0e76bed628e1085f14,d31d8b67f6dc1f76a533b5d5b970a699b3af445a
